motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID
MA0778.2	AC0121	MA0778.2	NFKB2	['Rel homology region (RHR) factors']	Unknown	20066093
MA0779.2	AC0171	MA0779.2	PAX1	['Paired box factors']	Unknown	19132093
MA0780.1	AC0024	MA0780.1	PAX3	['Paired box factors']	Unknown	19458195
MA0781.2	AC0171	MA0781.2	PAX9	['Paired box factors']	Unknown	19132093
MA0782.3	AC0172	MA0782.3	PKNOX1	['Homeo domain factors']	Unknown	23602564
MA0783.1	AC0048	MA0783.1	PKNOX2	['Homeo domain factors']	Unknown	25233378
MA0784.3	AC0013	MA0784.3	POU1F1	['Homeo domain factors']	Unknown	2350782
MA0785.2	AC0013	MA0785.2	POU2F1	['Homeo domain factors']	Unknown	1361172
MA0786.2	AC0013	MA0786.2	POU3F1	['Homeo domain factors']	Unknown	1361172
MA0787.1	AC0013	MA0787.1	POU3F2	['Homeo domain factors']	Unknown	9852081
MA0788.1	AC0013	MA0788.1	POU3F3	['Homeo domain factors']	Unknown	9852081
MA0789.1	AC0013	MA0789.1	POU3F4	['Homeo domain factors']	Unknown	2350782
MA0790.2	AC0020	MA0790.2	POU4F1	['Homeo domain factors']	Unknown	18077589
MA0791.2	AC0020	MA0791.2	POU4F3	['Homeo domain factors']	Unknown	18077589
MA0792.1	AC0013	MA0792.1	POU5F1B	['Homeo domain factors']	Unknown	2350782
MA0793.2	AC0015	MA0793.2	POU6F2	['Homeo domain factors']	Unknown	9852081
MA0794.1	AC0071	MA0794.1	PROX1	['Homeo domain factors']	Unknown	21040746
MA0795.1	AC0134	MA0795.1	SMAD3	['SMAD/NF-1 DNA-binding domain factors']	Unknown	12582250
MA0796.1	AC0048	MA0796.1	TGIF1	['Homeo domain factors']	Unknown	8537382
MA0797.1	AC0048	MA0797.1	TGIF2	['Homeo domain factors']	Unknown	8537382
MA0798.3	AC0139	MA0798.3	RFX3	['Fork head/winged helix factors']	Unknown	20378718
MA0799.3	AC0140	MA0799.3	RFX4	['Fork head/winged helix factors']	Unknown	8754849
MA0800.2	AC0039	MA0800.2	EOMES	['T-Box factors']	Unknown	12093383
MA0801.1	AC0039	MA0801.1	MGA	['T-Box factors']	Unknown	12093383
MA0802.2	AC0039	MA0802.2	TBR1	['T-Box factors']	Unknown	12093383
MA0803.1	AC0039	MA0803.1	TBX15	['T-Box factors']	Unknown	12093383
MA0804.2	AC0039	MA0804.2	TBX19	['T-Box factors']	Unknown	12093383
MA0805.1	AC0039	MA0805.1	TBX1	['T-Box factors']	Unknown	12093383
MA0806.1	AC0039	MA0806.1	TBX4	['T-Box factors']	Unknown	12093383
MA0807.1	AC0039	MA0807.1	TBX5	['T-Box factors']	Unknown	12093383
MA0808.1	AC0125	MA0808.1	TEAD3	['TEA domain factors']	Unknown	9571041
MA0809.3	AC0125	MA0809.3	TEAD4	['TEA domain factors']	Unknown	23332764
MA0810.2	AC0107	MA0810.2	TFAP2A	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0811.2	AC0107	MA0811.2	TFAP2B	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0812.2	AC0107	MA0812.2	TFAP2B	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0813.1	AC0106	MA0813.1	TFAP2B	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0814.3	AC0107	MA0814.3	TFAP2C	['Basic helix-span-helix factors (bHSH)']	Unknown	23332764
MA0815.1	AC0106	MA0815.1	TFAP2C	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0817.2	AC0045	MA0817.2	BHLHE23	['Basic helix-loop-helix factors (bHLH)']	Unknown	9144210
MA0818.2	AC0045	MA0818.2	BHLHE22	['Basic helix-loop-helix factors (bHLH)']	Unknown	22284184
MA0819.3	AC0042	MA0819.3	CLOCK	['Basic helix-loop-helix factors (bHLH)']	Unknown	24591654
MA0820.2	AC0046	MA0820.2	FIGLA	['Basic helix-loop-helix factors (bHLH)']	Unknown	18499083
MA0821.2	AC0042	MA0821.2	HES5	['Basic helix-loop-helix factors (bHLH)']	Unknown	15186484
MA0822.1	AC0042	MA0822.1	HES7	['Basic helix-loop-helix factors (bHLH)']	Unknown	16342160
MA0823.1	AC0042	MA0823.1	HEY1	['Basic helix-loop-helix factors (bHLH)']	Unknown	22615585
MA0825.2	AC0042	MA0825.2	MNT	['Basic helix-loop-helix factors (bHLH)']	Unknown	12695332
MA0826.1	AC0045	MA0826.1	OLIG1	['Basic helix-loop-helix factors (bHLH)']	Unknown	20959288
MA0827.1	AC0045	MA0827.1	OLIG3	['Basic helix-loop-helix factors (bHLH)']	Unknown	20959288
MA0828.3	AC0044	MA0828.3	SREBF2	['Basic helix-loop-helix factors (bHLH)']	Unknown	11591434
MA0829.3	AC0044	MA0829.3	SREBF1	['Basic helix-loop-helix factors (bHLH)']	Unknown	11591434
MA0830.3	AC0046	MA0830.3	TCF4	['Basic helix-loop-helix factors (bHLH)']	Unknown	31081034
MA0831.3	AC0044	MA0831.3	TFE3	['Basic helix-loop-helix factors (bHLH)']	Unknown	23933270
MA0833.3	AC0069	MA0833.3	ATF4	['Basic leucine zipper factors (bZIP)']	Unknown	22819556
MA0834.2	AC0070	MA0834.2	ATF7	['Basic leucine zipper factors (bZIP)']	Unknown	2516827
MA0835.3	AC0067	MA0835.3	BATF3	['Basic leucine zipper factors (bZIP)']	Unknown	29588546
MA0836.3	AC0069	MA0836.3	CEBPD	['Basic leucine zipper factors (bZIP)']	Unknown	8632009
MA0837.3	AC0069	MA0837.3	CEBPE	['Basic leucine zipper factors (bZIP)']	Unknown	8632009
MA0838.1	AC0069	MA0838.1	CEBPG	['Basic leucine zipper factors (bZIP)']	Unknown	8632009
MA0839.2	AC0043	MA0839.2	CREB3L1	['Basic leucine zipper factors (bZIP)']	Unknown	21041443
MA0841.2	AC0067	MA0841.2	NFE2	['Basic leucine zipper factors (bZIP)']	Unknown	10498903
MA0842.3	AC0115	MA0842.3	NRL	['Basic leucine zipper factors (bZIP)']	Unknown	8552602
MA0843.2	AC0069	MA0843.2	TEF	['Basic leucine zipper factors (bZIP)']	Unknown	25215497
MA0844.2	AC0043	MA0844.2	XBP1	['Basic leucine zipper factors (bZIP)']	Unknown	15598891
MA0845.1	AC0001	MA0845.1	FOXB1	['Fork head/winged helix factors']	Unknown	7739038
MA0846.2	AC0001	MA0846.2	FOXC2	['Fork head/winged helix factors']	Unknown	23354101
MA0847.4	AC0001	MA0847.4	FOXD2	['Fork head/winged helix factors']	Unknown	28520732
MA0848.1	AC0001	MA0848.1	FOXO4	['Fork head/winged helix factors']	Unknown	10880363
MA0849.1	AC0001	MA0849.1	FOXO6	['Fork head/winged helix factors']	Unknown	10880363
MA0850.1	AC0001	MA0850.1	FOXP3	['Fork head/winged helix factors']	Unknown	20554955
MA0852.3	AC0001	MA0852.3	FOXK1	['Fork head/winged helix factors']	Unknown	16624804
MA0855.1	AC0054	MA0855.1	RXRB	['Nuclear receptors with C4 zinc fingers']	Unknown	15019979
MA0856.1	AC0054	MA0856.1	RXRG	['Nuclear receptors with C4 zinc fingers']	Unknown	15019979
MA0861.2	AC0133	MA0861.2	TP73	['p53 domain factors']	Unknown	23243311
MA0862.1	AC0070	MA0862.1	GMEB2	['SAND domain factors']	Unknown	11743720
MA0863.1	AC0144	MA0863.1	MTF1	['C2H2 zinc finger factors']	Unknown	8265351
MA0864.3	AC0136	MA0864.3	E2F2	['Fork head/winged helix factors']	Unknown	18836037
MA0865.3	AC0096	MA0865.3	E2F8	['Fork head/winged helix factors']	Unknown	18836037
MA0866.1	AC0009	MA0866.1	SOX21	['High-mobility group (HMG) domain factors']	Unknown	12920151
MA0867.3	AC0009	MA0867.3	SOX4	['High-mobility group (HMG) domain factors']	Unknown	17599239
MA0868.3	AC0009	MA0868.3	SOX8	['High-mobility group (HMG) domain factors']	Unknown	17599239
MA0871.3	AC0042	MA0871.3	TFEC	['Basic helix-loop-helix factors (bHLH)']	Unknown	15186484
MA0872.1	AC0106	MA0872.1	TFAP2A	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0873.2	AC0007	MA0873.2	HOXD12	['Homeo domain factors']	Unknown	18585359
MA0875.2	AC0015	MA0875.2	BARX1	['Homeo domain factors']	Unknown	18585359
MA0876.2	AC0015	MA0876.2	BSX	['Homeo domain factors']	Unknown	18585359
MA0877.4	AC0003	MA0877.4	BARHL1	['Homeo domain factors']	Unknown	18585359
MA0878.3	AC0006	MA0878.3	CDX1	['Homeo domain factors']	Unknown	18585359
MA0879.3	AC0015	MA0879.3	DLX1	['Homeo domain factors']	Unknown	18585359
MA0882.2	AC0015	MA0882.2	DLX6	['Homeo domain factors']	Unknown	9889271
MA0884.2	AC0017	MA0884.2	DUXA	['Homeo domain factors']	Unknown	24278031
MA0886.2	AC0015	MA0886.2	EMX2	['Homeo domain factors']	Unknown	18585359
MA0887.2	AC0015	MA0887.2	EVX1	['Homeo domain factors']	Unknown	18585359
MA0888.2	AC0015	MA0888.2	EVX2	['Homeo domain factors']	Unknown	18585359
MA0889.2	AC0015	MA0889.2	GBX1	['Homeo domain factors']	Unknown	18585359
MA0890.2	AC0015	MA0890.2	GBX2	['Homeo domain factors']	Unknown	18585359
MA0891.2	AC0028	MA0891.2	GSC2	['Homeo domain factors']	Unknown	9441739
MA0892.2	AC0015	MA0892.2	GSX1	['Homeo domain factors']	Unknown	18585359
MA0893.3	AC0015	MA0893.3	GSX2	['Homeo domain factors']	Unknown	18585359
MA0894.2	AC0015	MA0894.2	HESX1	['Homeo domain factors']	Unknown	11748154
MA0895.2	AC0022	MA0895.2	HMBOX1	['Homeo domain factors']	Unknown	18585359
MA0899.2	AC0006	MA0899.2	HOXA10	['Homeo domain factors']	Unknown	18585359
MA0900.3	AC0015	MA0900.3	HOXA2	['Homeo domain factors']	Unknown	18585359
MA0901.3	AC0006	MA0901.3	HOXB13	['Homeo domain factors']	Unknown	23332764
MA0902.3	AC0015	MA0902.3	HOXB2	['Homeo domain factors']	Unknown	18585359
MA0903.2	AC0015	MA0903.2	HOXB3	['Homeo domain factors']	Unknown	18585359
MA0904.3	AC0015	MA0904.3	HOXB5	['Homeo domain factors']	Unknown	18585359
MA0905.2	AC0007	MA0905.2	HOXC10	['Homeo domain factors']	Unknown	18585359
MA0906.2	AC0007	MA0906.2	HOXC12	['Homeo domain factors']	Unknown	18585359
MA0907.2	AC0007	MA0907.2	HOXC13	['Homeo domain factors']	Unknown	18585359
MA0908.2	AC0007	MA0908.2	HOXD11	['Homeo domain factors']	Unknown	18585359
MA0910.3	AC0015	MA0910.3	HOXD8	['Homeo domain factors']	Unknown	18585359
MA0912.2	AC0015	MA0912.2	HOXD3	['Homeo domain factors']	Unknown	18585359
MA0913.3	AC0006	MA0913.3	HOXD9	['Homeo domain factors']	Unknown	10523646
MA0914.2	AC0015	MA0914.2	ISL2	['Homeo domain factors']	Unknown	7999775
MA1099.3	AC0042	MA1099.3	HES1	['Basic helix-loop-helix factors (bHLH)']	Unknown	15870295
MA1100.3	AC0046	MA1100.3	ASCL1	['Basic helix-loop-helix factors (bHLH)']	Unknown	20382226
MA1101.3	AC0067	MA1101.3	BACH2	['Basic leucine zipper factors (bZIP)']	Unknown	TF has several motif variants.
MA1102.3	AC0090	MA1102.3	CTCFL	['C2H2 zinc finger factors']	Unknown	26268681
MA1103.3	AC0001	MA1103.3	FOXK2	['Fork head/winged helix factors']	Unknown	26578569
MA1104.3	AC0027	MA1104.3	GATA6	['Other C4 zinc finger-type factors']	Unknown	9915795
MA1105.3	AC0074	MA1105.3	GRHL2	['Grainyhead domain factors']	Unknown	20978075
MA1106.2	AC0042	MA1106.2	HIF1A	['Basic helix-loop-helix factors (bHLH)']	Unknown	20061373
MA1107.3	AC0100	MA1107.3	KLF9	['C2H2 zinc finger factors']	Unknown	12620113
MA1108.3	AC0042	MA1108.3	MXI1	['Basic helix-loop-helix factors (bHLH)']	Unknown	8425219
MA1109.2	AC0048	MA1109.2	NEUROD1	['Basic helix-loop-helix factors (bHLH)']	Unknown	9858593
MA1111.2	AC0052	MA1111.2	NR2F2	['Nuclear receptors with C4 zinc fingers']	Unknown	1324415
MA1112.3	AC0052	MA1112.3	NR4A1	['Nuclear receptors with C4 zinc fingers']	Unknown	12082103
MA1113.3	AC0025	MA1113.3	PBX2	['Homeo domain factors']	Unknown	12054735
MA1114.2	AC0172	MA1114.2	PBX3	['Homeo domain factors']	Unknown	10082572
MA1115.2	AC0013	MA1115.2	POU5F1	['Homeo domain factors']	Unknown	23747866
MA1116.2	AC0138	MA1116.2	RBPJ	['Rel homology region (RHR) factors']	Unknown	23651858
MA1117.2	AC0121	MA1117.2	RELB	['Rel homology region (RHR) factors']	Unknown	17996728
MA1118.2	AC0072	MA1118.2	SIX1	['Homeo domain factors']	Unknown	9826681
MA1119.2	AC0072	MA1119.2	SIX2	['Homeo domain factors']	Unknown	15327782
MA1120.2	AC0009	MA1120.2	SOX13	['High-mobility group (HMG) domain factors']	Unknown	27521520
MA1121.2	AC0125	MA1121.2	TEAD2	['TEA domain factors']	Unknown	9571041
MA1122.2	AC0096	MA1122.2	TFDP1	['Fork head/winged helix factors']	Unknown	9027491
MA1123.3	AC0048	MA1123.3	TWIST1	['Basic helix-loop-helix factors (bHLH)']	Unknown	29453333
MA1125.2	AC0166	MA1125.2	ZNF384	['C2H2 zinc finger factors']	Unknown	11149472
MA1126.2	AC0070	MA1126.2	FOS::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1127.1	AC0070	MA1127.1	FOSB::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1128.2	AC0067	MA1128.2	FOSL1::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1129.1	AC0070	MA1129.1	FOSL1::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1130.2	AC0067	MA1130.2	FOSL2::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1131.2	AC0070	MA1131.2	FOSL2::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1132.2	AC0067	MA1132.2	JUN::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	15240010
MA1133.2	AC0070	MA1133.2	JUN::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	15240010
MA1134.2	AC0067	MA1134.2	FOS::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1135.2	AC0067	MA1135.2	FOSB::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1136.1	AC0070	MA1136.1	FOSB::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1137.2	AC0067	MA1137.2	FOSL1::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1138.2	AC0067	MA1138.2	FOSL2::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1139.2	AC0070	MA1139.2	FOSL2::JUNB	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1140.3	AC0070	MA1140.3	JUNB	['Basic leucine zipper factors (bZIP)']	Unknown	14585541
MA1141.2	AC0067	MA1141.2	FOS::JUND	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1142.2	AC0067	MA1142.2	FOSL1::JUND	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1143.2	AC0070	MA1143.2	FOSL1::JUND	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1144.2	AC0067	MA1144.2	FOSL2::JUND	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1145.2	AC0070	MA1145.2	FOSL2::JUND	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA1146.2	AC0058	MA1146.2	NR1H4::RXRA	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	10744760
MA1147.2	AC0058	MA1147.2	NR4A2::RXRA	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	7705655
MA1148.2	AC0054	MA1148.2	PPARA::RXRA	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	8386511
MA1149.2	AC0065	MA1149.2	RARA::RXRG	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	10698945
MA1150.2	AC0062	MA1150.2	RORB	['Nuclear receptors with C4 zinc fingers']	Unknown	25500868
MA1151.2	AC0062	MA1151.2	RORC	['Nuclear receptors with C4 zinc fingers']	Unknown	25500868
MA1152.2	AC0009	MA1152.2	SOX15	['High-mobility group (HMG) domain factors']	Unknown	15863505
MA1154.2	AC0156	MA1154.2	ZNF282	['C2H2 zinc finger factors']	Unknown	28092692
MA1155.1	AC0163	MA1155.1	ZSCAN4	['C2H2 zinc finger factors']	Unknown	28092692
MA1418.2	AC0111	MA1418.2	IRF3	['Tryptophan cluster factors']	Unknown	10938111
MA1419.2	AC0111	MA1419.2	IRF4	['Tryptophan cluster factors']	Unknown	25896227
MA1420.1	AC0111	MA1420.1	IRF5	['Tryptophan cluster factors']	Unknown	25896227
MA1421.1	AC0051	MA1421.1	TCF7L1	['High-mobility group (HMG) domain factors']	Unknown	27447672
MA1463.2	AC0015	MA1463.2	ARGFX	['Homeo domain factors']	Unknown	18585359
MA1464.2	AC0042	MA1464.2	ARNT2	['Basic helix-loop-helix factors (bHLH)']	Unknown	25215497
MA1466.2	AC0043	MA1466.2	ATF6	['Basic leucine zipper factors (bZIP)']	Unknown	10856300
MA1468.1	AC0045	MA1468.1	ATOH7	['Basic helix-loop-helix factors (bHLH)']	Unknown	23293286
MA1470.2	AC0070	MA1470.2	BACH2	['Basic leucine zipper factors (bZIP)']	Unknown	28461702
MA1471.2	AC0015	MA1471.2	BARX2	['Homeo domain factors']	Unknown	10051657
MA1473.2	AC0006	MA1473.2	CDX4	['Homeo domain factors']	Unknown	18585359
MA1474.2	AC0043	MA1474.2	CREB3L4	['Basic leucine zipper factors (bZIP)']	Unknown	21711675
MA1475.2	AC0070	MA1475.2	CREB3L4	['Basic leucine zipper factors (bZIP)']	Unknown	21711675
MA1478.2	AC0118	MA1478.2	DMRTA2	['DM-type intertwined zinc finger factors']	Unknown	25215497
MA1479.2	AC0118	MA1479.2	DMRTC2	['DM-type intertwined zinc finger factors']	Unknown	25215497
MA1480.2	AC0028	MA1480.2	DPRX	['Homeo domain factors']	Unknown	18585359
MA1481.2	AC0015	MA1481.2	DRGX	['Homeo domain factors']	Unknown	25131932
MA1483.3	AC0034	MA1483.3	ELF2	['Tryptophan cluster factors']	Unknown	20517297
MA1484.2	AC0034	MA1484.2	ETS2	['Tryptophan cluster factors']	Unknown	20517297
MA1485.1	AC0048	MA1485.1	FERD3L	['Basic helix-loop-helix factors (bHLH)']	Unknown	17027923
MA1487.3	AC0001	MA1487.3	FOXE1	['Fork head/winged helix factors']	Unknown	23675434
MA1489.1	AC0001	MA1489.1	FOXN3	['Fork head/winged helix factors']	Unknown	30826165
MA1491.3	AC0085	MA1491.3	GLI3	['C2H2 zinc finger factors']	Unknown	2105456
MA1493.1	AC0042	MA1493.1	HES6	['Basic helix-loop-helix factors (bHLH)']	Unknown	11959828
MA1494.2	AC0054	MA1494.2	HNF4A	['Nuclear receptors with C4 zinc fingers']	Unknown	25164757
MA1495.2	AC0015	MA1495.2	HOXA1	['Homeo domain factors']	Unknown	16341070
MA1496.2	AC0015	MA1496.2	HOXA4	['Homeo domain factors']	Unknown	7901228
MA1497.2	AC0015	MA1497.2	HOXA6	['Homeo domain factors']	Unknown	18585359
MA1498.3	AC0015	MA1498.3	HOXA7	['Homeo domain factors']	Unknown	18585359
MA1499.2	AC0015	MA1499.2	HOXB4	['Homeo domain factors']	Unknown	18585359
MA1500.2	AC0015	MA1500.2	HOXB6	['Homeo domain factors']	Unknown	18585359
MA1501.2	AC0015	MA1501.2	HOXB7	['Homeo domain factors']	Unknown	18585359
MA1502.2	AC0015	MA1502.2	HOXB8	['Homeo domain factors']	Unknown	18585359
MA1503.2	AC0007	MA1503.2	HOXB9	['Homeo domain factors']	Unknown	18585359
MA1504.2	AC0015	MA1504.2	HOXC4	['Homeo domain factors']	Unknown	18585359
MA1505.2	AC0015	MA1505.2	HOXC8	['Homeo domain factors']	Unknown	18585359
MA1506.2	AC0007	MA1506.2	HOXD10	['Homeo domain factors']	Unknown	18585359
MA1507.2	AC0015	MA1507.2	HOXD4	['Homeo domain factors']	Unknown	9079695
MA1508.2	AC0033	MA1508.2	IKZF1	['C2H2 zinc finger factors']	Unknown	27664237
MA1509.1	AC0111	MA1509.1	IRF6	['Tryptophan cluster factors']	Unknown	18604160
MA1511.2	AC0100	MA1511.2	KLF10	['C2H2 zinc finger factors']	Unknown	11443140
MA1512.2	AC0100	MA1512.2	KLF11	['C2H2 zinc finger factors']	Unknown	11443140
MA1513.2	AC0102	MA1513.2	KLF15	['C2H2 zinc finger factors']	Unknown	28473536
MA1514.2	AC0100	MA1514.2	KLF17	['C2H2 zinc finger factors']	Unknown	11443140
MA1515.2	AC0100	MA1515.2	KLF2	['C2H2 zinc finger factors']	Unknown	11443140
MA1516.2	AC0100	MA1516.2	KLF3	['C2H2 zinc finger factors']	Unknown	11443140
MA1517.2	AC0100	MA1517.2	KLF6	['C2H2 zinc finger factors']	Unknown	11443140
MA1519.2	AC0015	MA1519.2	LHX5	['Homeo domain factors']	Unknown	18585359
MA1520.2	AC0067	MA1520.2	MAF	['Basic leucine zipper factors (bZIP)']	Unknown	9571165
MA1521.2	AC0067	MA1521.2	MAFA	['Basic leucine zipper factors (bZIP)']	Unknown	9571165
MA1522.2	AC0102	MA1522.2	MAZ	['C2H2 zinc finger factors']	Unknown	7760814
MA1523.2	AC0170	MA1523.2	MSANTD3	['Tryptophan cluster factors']	Unknown	12354778
MA1525.3	AC0031	MA1525.3	NFATC4	['Rel homology region (RHR) factors']	Unknown	12374807
MA1527.2	AC0122	MA1527.2	NFIC	['SMAD/NF-1 DNA-binding domain factors']	Unknown	22456058
MA1528.2	AC0122	MA1528.2	NFIX	['SMAD/NF-1 DNA-binding domain factors']	Unknown	22456058
MA1529.2	AC0046	MA1529.2	NHLH2	['Basic helix-loop-helix factors (bHLH)']	Unknown	23354101
MA1530.2	AC0015	MA1530.2	NKX6-3	['Homeo domain factors']	Unknown	18585359
MA1531.2	AC0060	MA1531.2	NR1D1	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1532.2	AC0060	MA1532.2	NR1D2	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1533.2	AC0061	MA1533.2	NR1I2	['Nuclear receptors with C4 zinc fingers']	Unknown	12016543
MA1534.2	AC0052	MA1534.2	NR1I3	['Nuclear receptors with C4 zinc fingers']	Unknown	12896978
MA1535.2	AC0052	MA1535.2	NR2C1	['Nuclear receptors with C4 zinc fingers']	Unknown	23354101
MA1536.2	AC0052	MA1536.2	NR2C2	['Nuclear receptors with C4 zinc fingers']	Unknown	11478808
MA1537.2	AC0054	MA1537.2	NR2F1	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1538.1	AC0058	MA1538.1	NR2F1	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1539.1	AC0058	MA1539.1	NR2F6	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1540.3	AC0065	MA1540.3	NR5A1	['Nuclear receptors with C4 zinc fingers']	Unknown	10913126
MA1541.2	AC0065	MA1541.2	NR6A1	['Nuclear receptors with C4 zinc fingers']	Unknown	11578963
MA1542.2	AC0030	MA1542.2	OSR1	['C2H2 zinc finger factors']	Unknown	29084951
MA1544.2	AC0127	MA1544.2	OVOL1	['C2H2 zinc finger factors']	Unknown	26504231
MA1545.2	AC0127	MA1545.2	OVOL2	['C2H2 zinc finger factors']	Unknown	24735879
MA1546.2	AC0016	MA1546.2	PAX3	['Paired box factors']	Unknown	9632796
MA1547.2	AC0028	MA1547.2	PITX2	['Homeo domain factors']	Unknown	9685346
MA1548.2	AC0151	MA1548.2	PLAGL2	['C2H2 zinc finger factors']	Unknown	11832486
MA1549.2	AC0015	MA1549.2	POU6F1	['Homeo domain factors']	Unknown	26265007
MA1550.2	AC0054	MA1550.2	PPARD	['Nuclear receptors with C4 zinc fingers']	Unknown	8725145
MA1552.2	AC0058	MA1552.2	RARB	['Nuclear receptors with C4 zinc fingers']	Unknown	1738600
MA1553.2	AC0058	MA1553.2	RARG	['Nuclear receptors with C4 zinc fingers']	Unknown	1738600
MA1554.2	AC0139	MA1554.2	RFX7	['Fork head/winged helix factors']	Unknown	23354101
MA1555.1	AC0058	MA1555.1	RXRB	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1556.1	AC0058	MA1556.1	RXRG	['Nuclear receptors with C4 zinc fingers']	Unknown	14559106
MA1557.1	AC0134	MA1557.1	SMAD5	['SMAD/NF-1 DNA-binding domain factors']	Unknown	11527422
MA1558.2	AC0046	MA1558.2	SNAI1	['C2H2 zinc finger factors']	Unknown	26170144
MA1559.2	AC0046	MA1559.2	SNAI3	['C2H2 zinc finger factors']	Unknown	23762348
MA1560.2	AC0042	MA1560.2	SOHLH2	['Basic helix-loop-helix factors (bHLH)']	Unknown	26869299
MA1561.2	AC0011	MA1561.2	SOX12	['High-mobility group (HMG) domain factors']	Unknown	18403418
MA1562.2	AC0009	MA1562.2	SOX14	['High-mobility group (HMG) domain factors']	Unknown	17852354
MA1563.2	AC0009	MA1563.2	SOX18	['High-mobility group (HMG) domain factors']	Unknown	7651823
MA1564.2	AC0100	MA1564.2	SP9	['C2H2 zinc finger factors']	Unknown	26187067
MA1565.2	AC0039	MA1565.2	TBX18	['T-Box factors']	Unknown	17584735
MA1566.3	AC0039	MA1566.3	TBX3	['T-Box factors']	Unknown	18829543
MA1568.2	AC0045	MA1568.2	TCF21	['Basic helix-loop-helix factors (bHLH)']	Unknown	25215497
MA1569.2	AC0107	MA1569.2	TFAP2E	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA1570.1	AC0048	MA1570.1	TFAP4	['Basic helix-loop-helix factors (bHLH)']	Unknown	9741833
MA1571.1	AC0048	MA1571.1	TGIF2LX	['Homeo domain factors']	Unknown	8537382
MA1572.1	AC0048	MA1572.1	TGIF2LY	['Homeo domain factors']	Unknown	8537382
MA1574.2	AC0054	MA1574.2	THRB	['Nuclear receptors with C4 zinc fingers']	Unknown	19741045
MA1575.2	AC0063	MA1575.2	THRB	['Nuclear receptors with C4 zinc fingers']	Unknown	19741045
MA1576.2	AC0055	MA1576.2	THRB	['Nuclear receptors with C4 zinc fingers']	Unknown	19741045
MA1577.2	AC0015	MA1577.2	TLX2	['Homeo domain factors']	Unknown	10869550
MA1578.2	AC0085	MA1578.2	VEZF1	['C2H2 zinc finger factors']	Unknown	20062523
MA1579.2	AC0124	MA1579.2	ZBTB26	['C2H2 zinc finger factors']	Unknown	28473536
